날짜,충전소명,충전기 유형,충전량(kWh)
2025-10-30,마포유수지 공영주차장,급속,97.73
2025-10-30,서울월드컵경기장,급속,59.05
2025-10-30,서울월드컵경기장,급속,53.66
2025-10-30,서울월드컵경기장,급속,39.02
2025-10-30,서울월드컵경기장,급속,12.9
2025-10-30,아현2구역 공영주차장,급속,15.48
2025-10-30,연남동 공영주차장,급속,194.93
2025-10-30,연남동 공영주차장,급속,136.4
2025-10-30,양천구청,급속,16.87
2025-10-30,신정4동길 노상공영주차장(가로등),급속,171.68
2025-10-30,신정4동길 노상공영주차장(가로등),급속,70.37
2025-10-30,오목교역 노상공영주차장(가로등),급속,56.64
2025-10-30,양천구민체육센터,급속,88.83
2025-10-30,한마음공영주차장,급속,9.33
2025-10-30,한마음공영주차장,급속,26.02
2025-10-30,한마음공영주차장,급속,33.75
2025-10-30,곰달래5길 노상공영주차장(가로등),급속,170.07
2025-10-30,곰달래5길 노상공영주차장(가로등),급속,186.59
2025-10-30,신월5동 복개 노상공영주차장(가로등),급속,186.54
2025-10-30,목동공영주차장,급속,57.33
2025-10-30,목동공영주차장,급속,39.49
2025-10-30,목동공영주차장,급속,37.36
2025-10-30,목동공영주차장,급속,19.83
2025-10-30,목동공영주차장,급속,91.39
2025-10-30,목동공영주차장,급속,68.43
2025-10-30,개화산역 공영주차장,급속,24.53
2025-10-30,개화산역 공영주차장,급속,3.51
2025-10-30,개화산역 공영주차장,급속,60.62
2025-10-30,방화로 노상공영주차장(가로등),급속,89.99
2025-10-30,SK허브수 인근 거주자우선주차장 볼라드형 충전소,완속,1.64
2025-10-30,SK허브수 인근 거주자우선주차장 볼라드형 충전소,완속,5.07
2025-10-30,고척스카이돔,급속,46.31
2025-10-30,고척스카이돔,급속,22.37
2025-10-30,개봉1동 노외공영주차장,완속,30.94
2025-10-30,개봉1동 노외공영주차장,완속,0.11
2025-10-30,고척1동 마을 공영주차장,급속,0.68
2025-10-30,고척1동 마을 공영주차장,급속,27.11
2025-10-30,고척1동 마을 공영주차장,급속,2.36
2025-10-30,구로2동 주택가 공영주차장,급속,16.84
2025-10-30,구로2동 주택가 공영주차장,급속,13.86
2025-10-30,신도림역 공영주차장,급속,57.28
2025-10-30,천왕산가족캠핑장,급속,23.74
2025-10-30,여의도 KBS홀 앞 전기차 충전소,급속,67.75
2025-10-30,여의도 KBS홀 앞 전기차 충전소,완속,11.74
2025-10-30,여의도 KBS홀 앞 전기차 충전소,완속,6.25
2025-10-30,하이서울유스호스텔(지하주차장),완속,45.19
2025-10-30,청소년미래진로센터(하자센터),급속,47.48
2025-10-30,여의서로 노상공영주차장(가로등),급속,50.24
2025-10-30,여의서로 노상공영주차장(가로등),급속,82.8
2025-10-30,동작구청,급속,28.56
2025-10-30,동작구청 후문 가로등형 충전소,급속,187.6
2025-10-30,신대방동 신라스테이 거주자주차장(가로등),급속,50.69
2025-10-30,대방동(서울공고) 거주자주차장(가로등),급속,11.5
2025-10-30,보라매공원 정문주차장,급속,55.18
2025-10-30,사당종합체육관,완속,12.52
2025-10-30,사당5동 주민센터 거주자주차장 14번(가로등),급속,108.94
2025-10-30,사당문화회관 부설주차장,급속,22.56
2025-10-30,남부초 공영주차장,급속,15.18
2025-10-30,난곡스마트 공영주차장,급속,7.71
2025-10-30,으뜸공원 주차장,급속,74.98
2025-10-30,양재솔라스테이션,급속,15.42
2025-10-30,양재솔라스테이션,급속,81.66
2025-10-30,양재솔라스테이션,급속,76.64
2025-10-30,양재솔라스테이션,급속,130.73
2025-10-30,양재솔라스테이션,급속,91.18
2025-10-30,반포복개천 노상공영주차장(가로등),급속,78.93
2025-10-30,AI 체육센터,완속,0.21
2025-10-30,AI 체육센터,급속,1.43
2025-10-30,강남구 압구정 나들목 앞 가로등형 충전기,급속,121.22
2025-10-30,강남구 압구정 나들목 앞 가로등형 충전기,급속,189.9
2025-10-30,도곡정보문화도서관 볼라드형 충전소,완속,17.19
2025-10-30,도곡정보문화도서관 볼라드형 충전소,완속,12.66
2025-10-30,수서역 공영주차장 복합충전소,급속,39.13
2025-10-30,수서역 공영주차장 복합충전소,급속,188.49
2025-10-30,수서역 공영주차장 복합충전소,급속,50.89
2025-10-30,"영동대로85길 노상공영주차장(대명중학교 뒤, 가로등)",급속,69.47
2025-10-30,논현2동 주민센터,완속,17.34
2025-10-30,논현 제1호주차장,급속,43.15
2025-10-30,논현 제2호주차장,급속,140.11
2025-10-30,서울물재생시설공단,급속,40.63
2025-10-30,강남주민편익시설(가로등),급속,4.27
2025-10-30,문화재청 궁능유적본부,완속,15.46
2025-10-30,문화재청 궁능유적본부,완속,16.22
2025-10-30,논현문화마루,급속,30.72
2025-10-30,도곡2동 주민센터,급속,85.3
2025-10-30,복정역 공영주차장,급속,52.41
2025-10-30,잠실 청소년센터 앞 전기차 충전소(가로등),급속,96.77
2025-10-30,교통공원길 공영주차장 전기차 충전소,급속,97.94
2025-10-30,교통공원길 공영주차장 전기차 충전소,완속,87.97
2025-10-30,위례성길 공영주차장 전기차 충전소,급속,89.39
2025-10-30,위례성길 공영주차장 전기차 충전소,완속,34.47
2025-10-30,문정동 세광교회 앞 전기차 충전소,완속,34.78
2025-10-30,문정근린공원 공영주차장,완속,69.88
2025-10-30,문정근린공원 공영주차장,완속,43.07
2025-10-30,문정근린공원 공영주차장,완속,19.17
2025-10-30,삼전동 공영주차장,완속,10.55
2025-10-30,삼전동 공영주차장,완속,8.57
2025-10-30,삼전동 공영주차장,완속,30.83
2025-10-30,명일동 거주자주차장 134번(가로등),급속,41.54
2025-10-30,명일동 거주자주차장 127번(가로등),급속,67.09
2025-10-30,서울특별시 동부기술교육원,급속,37.25
2025-10-30,서울특별시 동부기술교육원,급속,52.92
2025-10-30,강동구청 제2구민체육센터,급속,15.29
2025-10-30,강동구청,급속,181.96
2025-10-29,송월동차고지,급속,31.19
2025-10-29,송월동차고지,급속,101.32
2025-10-29,송월동차고지,급속,47.75
2025-10-29,송월동차고지,완속,22.88
2025-10-29,누상공영주차장,급속,44.71
2025-10-29,누상공영주차장,완속,37.73
2025-10-29,올림픽기념국민생활관,완속,5.84
2025-10-29,올림픽기념국민생활관,완속,6.28
2025-10-29,남산청사,완속,36.21
2025-10-29,서소문청사(후생동),완속,31.51
2025-10-29,서소문청사(지하주차장),급속,61.34
2025-10-29,서소문청사(지하주차장),급속,81.31
2025-10-29,서소문청사(지하주차장),완속,54.43
2025-10-29,서울시 본관청사,급속,70.2
2025-10-29,서울시 본관청사,급속,57.19
2025-10-29,기업은행 무교지점 앞 가로등형 충전소,급속,168.97
2025-10-29,훈련원공원 노상공영주차장(가로등),급속,100.01
2025-10-29,"청계3 노상공영주차장(코리아몰 앞, 가로등)",급속,4.85
2025-10-29,"청계3 노상공영주차장(고려상사 앞, 가로등)",급속,60.49
2025-10-29,청계8가 노상공영주차장(가로등),급속,160.58
2025-10-29,청계8가 노상공영주차장(가로등),급속,175.28
2025-10-29,"을지로 노상공영주차장(신한은행 앞, 가로등)",급속,114.01
2025-10-29,"을지로 노상공영주차장(하나은행 앞, 가로등)",급속,106.19
2025-10-29,서소문청사(지상),급속,45.07
2025-10-29,청계5 노상공영주차장(가로등),급속,170.95
2025-10-29,청계5 노상공영주차장(가로등),급속,235.54
2025-10-29,신창동 공영주차장,급속,43.17
2025-10-29,한남동 공영주차장,급속,101.39
2025-10-29,성동구 마장동 거주자우선주차장 가로등형 충전기,급속,9.27
2025-10-29,청계8 노상공영주차장(가로등),급속,177.01
2025-10-29,청계8 노상공영주차장(가로등),급속,139.06
2025-10-29,서울숲공원주차장,급속,27.65
2025-10-29,송정동주민센터,급속,70.52
2025-10-29,어린이대공원 후문주차장,급속,13.02
2025-10-29,광진구 자양동 거주자우선주차장 가로등형 충전기,급속,107.45
2025-10-29,어린이대공원 구의문 주차장 복합충전소,급속,94.53
2025-10-29,어린이대공원 구의문 주차장 복합충전소,급속,222.06
2025-10-29,어린이대공원 구의문 주차장 복합충전소,급속,7.82
2025-10-29,자양우성1차아파트 앞 전기차 충전소(가로등),급속,32.61
2025-10-29,"중곡동 복개천 노상공영주차장(중곡동우체국 앞, 가로등)",급속,97.39
2025-10-29,한화꿈에그린아파트 거주자우선주차장(가로등),급속,62.37
2025-10-29,이문동 거주자우선주차장(가로등),급속,14.79
2025-10-29,정릉천변 노상공영주차장(가로등),급속,44.94
2025-10-29,휘경동 노외공영주차장(가로등),급속,15.62
2025-10-29,동대문구청,급속,41.28
2025-10-29,동대문구청,급속,83.94
2025-10-29,동대문구청,급속,81.21
2025-10-29,동대문구청,급속,61.24
2025-10-29,청량리동주차장,급속,12.35
2025-10-29,장안동근린공원 지하주차장,급속,91.99
2025-10-29,망우제2 거주자주차장,급속,27.55
2025-10-29,중랑구청,급속,262.25
2025-10-29,봉화산역 공영주차장 전기차 충전소,완속,9.72
2025-10-29,중랑캠핑숲 제1주차장,완속,0.12
2025-10-29,중랑캠핑숲 제1주차장,급속,38.31
2025-10-29,중랑캠핑숲 제1주차장,급속,149.53
2025-10-29,중랑구시설관리공단 관상복합청사 지하주차장,완속,30.83
2025-10-29,망우역사문화공원 제3주차장,급속,11.89
2025-10-29,망우역사문화공원 제3주차장,급속,60.18
2025-10-29,망우역사문화공원 제3주차장,급속,9.07
2025-10-29,중랑초교 공영주차장,완속,35.88
2025-10-29,면일초등학교 공영주차장,급속,121.41
2025-10-29,면일초등학교 공영주차장,급속,54.36
2025-10-29,면목5동 공영주차장,급속,73.79
2025-10-29,서울연극창작센터,급속,23.55
2025-10-29,성북구의회,급속,7.54
2025-10-29,하월곡동 거주자우선주차장,급속,23.55
2025-10-29,석관동공영주차장,급속,58.18
2025-10-29,석관동공영주차장,급속,14.2
2025-10-29,북악골프연습장,급속,17.39
2025-10-29,미아동 축산농협 전기차 충전소,완속,103.96
2025-10-29,미아동 축산농협 전기차 충전소,완속,40.58
2025-10-29,미아동 도봉세무서 앞 전기차 충전소,완속,11.26
2025-10-29,으뜸공원 공영주차장 전기차 충전소,완속,48.32
2025-10-29,수유동 가오천 공영주차장 전기차 충전소,완속,17.13
2025-10-29,도봉동 거주자우선주차장(가로등),급속,30.83
2025-10-29,도봉동 실내스포츠센터,급속,171.06
2025-10-29,방학동 도깨비시장 공영주차장,급속,101.26
2025-10-29,창2동 제4공영주차장,급속,204.9
2025-10-29,노원세무서 거주자주차장(가로등),급속,118.47
2025-10-29,미화어린이공원 주차장(가로등),급속,228.39
2025-10-29,초안산근린공원 거주자주차장(가로등),급속,101.4
2025-10-29,도봉산역 환승주차장,급속,51.16
2025-10-29,노원이지센터,급속,0.7
2025-10-29,노원이지센터,급속,2.76
2025-10-29,중랑천 환경센터,급속,1.12
2025-10-29,중랑천 환경센터,급속,1.13
2025-10-29,수락산디자인 노상공영주차장(가로등),급속,143.44
2025-10-29,월계동 거주자주차장(가로등),급속,102.61
2025-10-29,공릉동 거주자주차장(가로등),급속,171.28
2025-10-29,노원자원회수시설,급속,3.38
2025-10-29,노원자원회수시설,급속,3.01
2025-10-29,노원자원회수시설,급속,3.02
2025-10-29,노원구청,급속,138.21
2025-10-29,수락산스포츠타운,급속,75.36
2025-10-29,수락산당고개공원,급속,45.12
2025-10-29,월계복지문화센터,급속,77.84
2025-10-29,수락산디자인거리,급속,119.16
2025-10-29,석계역 공영주차장(석계역 앞),급속,106.23
2025-10-29,상계구민체육센터,급속,1.46
2025-10-29,초안산수국동산,급속,20.99
2025-10-29,석계역 공영주차장(문화공원 옆),급속,74.56
2025-10-29,수락산 근린공원 공영주차장,급속,23.92
2025-10-29,노원수학문화관,급속,74.82
2025-10-29,불암산공영주차장,급속,3.64
2025-10-29,중계근린공원,급속,34.18
2025-10-29,은평평화공원 지하공영주차장,급속,49.45
2025-10-29,구파발역 공영주차장,급속,38.3
2025-10-29,노송길 공동주차장,급속,317.61
2025-10-29,신사1동 공동주차장,급속,49.83
2025-10-29,앵봉산가족캠핑장,급속,36.16
2025-10-29,서대문구청 주차장,급속,53.31
2025-10-29,홍제1동 제1공영주차장,급속,224.19
2025-10-29,홍제동 주영빌딩 앞 전기차 충전소(가로등),급속,60.98
2025-10-29,북가좌동 공영주차장 전기차 충전소,완속,72.71
2025-10-29,연희동 거주자우선주차장(가로등),급속,160.19
2025-10-29,대궐재어린이공원 거주자주차장(가로등),급속,84.25
2025-10-29,연희제2공영주차장,급속,33.68
2025-10-29,독립문문화공원 지하공영주차장,급속,24.18
2025-10-29,화창운수 앞 가로등형 충전소,급속,84.77
2025-10-29,드림디포 앞 가로등형 충전소,급속,74.58
2025-10-29,시립서부노인 전문요양센터,완속,42.64
2025-10-29,청기와2 노상공영주차장(가로등),급속,108.74
2025-10-29,망원3 노상공영주차장(가로등),급속,111.14
2025-10-29,마포농수산물시장,급속,142.82
2025-10-29,마포농수산물시장,급속,34.36
2025-10-29,마포농수산물시장,급속,130.87
2025-10-29,마포유수지 공영주차장,급속,100.18
2025-10-29,마포유수지 공영주차장,급속,159.75
2025-10-29,서울월드컵경기장,급속,60.03
2025-10-29,서울월드컵경기장,급속,36.06
2025-10-29,서울월드컵경기장,급속,27.62
2025-10-29,서울월드컵경기장,급속,22.96
2025-10-29,아현2구역 공영주차장,급속,0.71
2025-10-29,아현2구역 공영주차장,급속,30.55
2025-10-29,아현2구역 공영주차장,급속,71.91
2025-10-29,아현2구역 공영주차장,급속,3.02
2025-10-29,연남동 공영주차장,급속,69.11
2025-10-29,연남동 공영주차장,급속,53.13
2025-10-29,양천구청,급속,28.08
2025-10-29,해맞이공영주차장,급속,3.5
2025-10-29,신정4동길 노상공영주차장(가로등),급속,141.78
2025-10-29,오목교역 노상공영주차장(가로등),급속,43.86
2025-10-29,양천구민체육센터,급속,33.99
2025-10-29,곰달래5길 노상공영주차장(가로등),급속,161.33
2025-10-29,곰달래5길 노상공영주차장(가로등),급속,156.63
2025-10-29,신월5동 복개 노상공영주차장(가로등),급속,181.77
2025-10-29,목동공영주차장,급속,79.89
2025-10-29,목동공영주차장,급속,58.12
2025-10-29,목동공영주차장,급속,47.43
2025-10-29,목동공영주차장,급속,28.89
2025-10-29,목동공영주차장,급속,37.97
2025-10-29,목동공영주차장,급속,21.93
2025-10-29,개화산역 공영주차장,급속,103.2
2025-10-29,방화로 노상공영주차장(가로등),급속,38.26
2025-10-29,화곡본동주민센터,급속,92.41
2025-10-29,고척스카이돔,급속,51.56
2025-10-29,개봉1동 노외공영주차장,완속,36.29
2025-10-29,개봉1동 노외공영주차장,완속,30.83
2025-10-29,구로5동 마을공동공영주차장,완속,0.21
2025-10-29,구로5동 마을공동공영주차장,완속,0.11
2025-10-29,고척1동 마을 공영주차장,급속,6.18
2025-10-29,구로2동 주택가 공영주차장,급속,3.03
2025-10-29,구로2동 주택가 공영주차장,급속,0.72
2025-10-29,구로2동 주택가 공영주차장,급속,0.72
2025-10-29,구로2동 주택가 공영주차장,급속,0.7
2025-10-29,여의도 KBS홀 앞 전기차 충전소,급속,37.58
2025-10-29,여의도 KBS홀 앞 전기차 충전소,완속,4.64
2025-10-29,여의도 KBS홀 앞 전기차 충전소,완속,28.36
2025-10-29,청소년미래진로센터(하자센터),급속,34.31
2025-10-29,여의서로 노상공영주차장(가로등),급속,159.84
2025-10-29,여의서로 노상공영주차장(가로등),급속,263.96
2025-10-29,동작구청,급속,21.46
2025-10-29,동작구청 후문 가로등형 충전소,급속,108.95
2025-10-29,신대방동 신라스테이 거주자주차장(가로등),급속,114.38
2025-10-29,대방동(서울공고) 거주자주차장(가로등),급속,11.96
2025-10-29,보라매공원 정문주차장,급속,120.65
2025-10-29,사당종합체육관,완속,10.2
2025-10-29,사당5동 주민센터 거주자주차장 14번(가로등),급속,113.24
2025-10-29,빙수골 거주자우선주차장,급속,40.14
2025-10-29,난곡스마트 공영주차장,급속,83.08
2025-10-29,관악구 노인회관 50+센터,급속,5.84
2025-10-29,으뜸공원 주차장,급속,27.88
2025-10-29,양재솔라스테이션,급속,115.31
2025-10-29,양재솔라스테이션,급속,88.88
2025-10-29,양재솔라스테이션,급속,113.06
2025-10-29,양재솔라스테이션,급속,136.21
2025-10-29,양재솔라스테이션,급속,160.16
2025-10-29,반포복개천 노상공영주차장(가로등),급속,92.83
2025-10-29,AI 체육센터,완속,27.87
2025-10-29,강남구 압구정 나들목 앞 가로등형 충전기,급속,153.39
2025-10-29,강남구 압구정 나들목 앞 가로등형 충전기,급속,209.76
2025-10-29,도곡정보문화도서관 볼라드형 충전소,완속,36.88
2025-10-29,도곡정보문화도서관 볼라드형 충전소,완속,6.23
2025-10-29,수서역 공영주차장 복합충전소,급속,114.48
2025-10-29,수서역 공영주차장 복합충전소,급속,134.6
2025-10-29,수서역 공영주차장 복합충전소,급속,92.57
2025-10-29,"영동대로85길 노상공영주차장(대명중학교 뒤, 가로등)",급속,8.27
2025-10-29,논현2동 주민센터,완속,68.86
2025-10-29,논현 제1호주차장,급속,30.3
2025-10-29,논현 제2호주차장,급속,146.77
2025-10-29,강남운전면허시험장,급속,68.37
2025-10-29,강남주민편익시설(가로등),급속,6.37
2025-10-29,강남주민편익시설(가로등),급속,19.3
2025-10-29,문화재청 궁능유적본부,완속,13.6
2025-10-29,문화재청 궁능유적본부,완속,20.93
2025-10-29,도곡2동 주민센터,급속,77.94
2025-10-29,잠실 청소년센터 앞 전기차 충전소(가로등),급속,204.97
2025-10-29,교통공원길 공영주차장 전기차 충전소,급속,93.83
2025-10-29,위례성길 공영주차장 전기차 충전소,급속,110.59
2025-10-29,위례성길 공영주차장 전기차 충전소,완속,42.42
2025-10-29,문정동 세광교회 앞 전기차 충전소,완속,40.54
2025-10-29,문정근린공원 공영주차장,완속,38.93
2025-10-29,문정근린공원 공영주차장,완속,3.33
2025-10-29,문정근린공원 공영주차장,완속,59.0
2025-10-29,삼전동 공영주차장,완속,74.45
2025-10-29,삼전동 공영주차장,완속,14.18
2025-10-29,삼전동 공영주차장,완속,8.76
2025-10-29,천호역 공영주차장,급속,80.82
2025-10-29,명일동 거주자주차장 134번(가로등),급속,135.4
2025-10-29,명일동 거주자주차장 127번(가로등),급속,60.51
2025-10-29,서울특별시 동부기술교육원,급속,46.76
2025-10-29,서울특별시 동부기술교육원,급속,36.79
2025-10-29,강동구청,급속,304.04
2025-10-28,송월동차고지,급속,154.48
2025-10-28,송월동차고지,급속,86.8
2025-10-28,송월동차고지,급속,42.31
2025-10-28,송월동차고지,완속,0.02
2025-10-28,송월동차고지,완속,44.87
2025-10-28,송월동차고지,완속,49.21
2025-10-28,올림픽기념국민생활관,완속,6.77
2025-10-28,올림픽기념국민생활관,완속,23.54
2025-10-28,종로구구민회관,급속,46.64
2025-10-28,숭인도담공영주차장,급속,1.08
2025-10-28,남산청사,완속,10.49
2025-10-28,남산청사,완속,5.75
2025-10-28,서울시 본관청사,급속,15.91
2025-10-28,서울시 본관청사,급속,91.26
2025-10-28,기업은행 무교지점 앞 가로등형 충전소,급속,116.97
2025-10-28,훈련원공원 노상공영주차장(가로등),급속,159.13
2025-10-28,"청계3 노상공영주차장(코리아몰 앞, 가로등)",급속,51.64
2025-10-28,"청계3 노상공영주차장(고려상사 앞, 가로등)",급속,82.69
2025-10-28,청계8가 노상공영주차장(가로등),급속,235.98
2025-10-28,청계8가 노상공영주차장(가로등),급속,126.01
2025-10-28,"을지로 노상공영주차장(신한은행 앞, 가로등)",급속,87.63
2025-10-28,"을지로 노상공영주차장(하나은행 앞, 가로등)",급속,88.31
2025-10-28,서소문청사(지상),급속,84.8
2025-10-28,청계5 노상공영주차장(가로등),급속,203.77
2025-10-28,청계5 노상공영주차장(가로등),급속,179.14
2025-10-28,신창동 공영주차장,급속,19.93
2025-10-28,한남동 공영주차장,급속,55.1
2025-10-28,성동구청,급속,41.97
2025-10-28,성동구 마장동 거주자우선주차장 가로등형 충전기,급속,5.54
2025-10-28,청계8 노상공영주차장(가로등),급속,221.1
2025-10-28,청계8 노상공영주차장(가로등),급속,133.06
2025-10-28,서울숲공원주차장,급속,37.99
2025-10-28,서울숲공원주차장,급속,36.75
2025-10-28,송정동주민센터,급속,18.64
2025-10-28,어린이대공원 후문주차장,급속,11.92
2025-10-28,광진구 자양동 거주자우선주차장 가로등형 충전기,급속,110.44
2025-10-28,어린이대공원 구의문 주차장 복합충전소,급속,39.58
2025-10-28,어린이대공원 구의문 주차장 복합충전소,급속,102.18
2025-10-28,어린이대공원 구의문 주차장 복합충전소,급속,122.03
2025-10-28,자양한양아파트 앞 전기차 충전소(가로등),급속,142.26
2025-10-28,자양우성1차아파트 앞 전기차 충전소(가로등),급속,98.82
2025-10-28,"중곡동 복개천 노상공영주차장(중곡동우체국 앞, 가로등)",급속,90.49
2025-10-28,한화꿈에그린아파트 거주자우선주차장(가로등),급속,70.89
2025-10-28,50+동부캠퍼스,급속,31.7
2025-10-28,정릉천변 노상공영주차장(가로등),급속,26.54
2025-10-28,휘경동 노외공영주차장(가로등),급속,59.86
2025-10-28,동대문구청,급속,13.07
2025-10-28,동대문구청,급속,96.72
2025-10-28,동대문구청,급속,243.17
